id,value
id_0,23.07806307158889
id_1,19.330753923411184
id_2,55.78185200113973
id_3,31.367565126648653
id_4,17.28676711531425
id_5,31.026900658632496
id_6,28.415139737175306
id_7,46.58391136470356
id_8,17.74098640600246
id_9,27.733810801142997
id_10,25.122049879685814
id_11,17.400321937986302
id_12,27.27959151045479
id_13,47.94656923676818
id_14,19.671418391427334
id_15,16.946102647298098
id_16,32.503113353369166
id_17,67.36444391368899
id_18,4.455072153372426
id_19,17.51387676065836
id_20,36.59108696956302
id_21,65.20690228292001
id_22,6.839723429485509
id_23,18.53587016470682
id_24,13.198793499120395
id_25,25.689823993046065
id_26,10.359922932319108
id_27,84.05700284648057
id_28,12.06324527239988
id_29,59.41560632664539
id_30,31.7082295946648
id_31,18.081650874018617
id_32,10.700587400335262
id_33,63.50357994283924
id_34,42.72304739385381
id_35,35.0013194521543
id_36,35.796203210858664
id_37,40.90617023110099
id_38,36.93175143757917
id_39,57.25806469587641
id_40,8.429490946894232
id_41,34.88776462948224
id_42,27.279591510454793
id_43,41.01972505377303
id_44,16.26477371126579
id_45,32.276003708025065
id_46,20.012082859443492
id_47,12.403909740416035
id_48,25.57626917037402
id_49,18.308760519362718
id_50,42.72304739385381
id_51,6.1583944934532
id_52,62.14092207077462
id_53,45.448363137983044
id_54,6.726168606813458
id_55,52.71587178899434
id_56,22.96450824891683
id_57,26.37115292907838
id_58,58.50716774526897
id_59,16.832547824626047
id_60,16.037664065921685
id_61,49.87700122219306
id_62,7.975271656206024
id_63,56.34962611449999
id_64,27.052481865110693
id_65,30.232016899928134
id_66,54.53274895174717
id_67,5.363510734748838
id_68,56.34962611449999
id_69,29.89135243191198
id_70,4.341517330700374
id_71,30.799791013288388
id_72,61.57314795741437
id_73,9.565039173614746
id_74,15.469889952561427
id_75,25.122049879685807
id_76,45.67547278332715
id_77,34.43354533879405
id_78,46.81102101004766
id_79,27.960920446487098
id_80,20.806966618147854
id_81,36.36397732421892
id_82,35.90975803353071
id_83,46.0161372513433
id_84,16.605438179281943
id_85,28.86935902786351
id_86,28.982913850535564
id_87,29.777797609239926
id_88,14.788561016529119
id_89,25.803378815718123
id_90,21.601850376852212
id_91,16.605438179281943
id_92,14.788561016529119
id_93,33.97932604810584
id_94,20.012082859443492
id_95,13.653012789808603
id_96,18.876534632722976
id_97,13.198793499120397
id_98,26.82537221976658
id_99,12.403909740416037
id_100,12.063245272399882
id_101,65.09334746024795
id_102,11.722580804383728
id_103,16.832547824626047
id_104,37.49952555093944
id_105,16.151218888593736
id_106,21.034076263491958
id_107,18.649424987378875
id_108,22.62384378090068
id_109,46.35680171935946
id_110,26.371152929078377
id_111,19.10364427806708
id_112,31.594674771992747
id_113,25.68982399304607
id_114,7.066833074829612
id_115,22.396734135556574
id_116,16.605438179281943
id_117,9.451484350942696
id_118,52.148097675634084
id_119,23.078063071588883
id_120,40.11128647239662
id_121,10.359922932319106
id_122,11.609025981711675
id_123,30.00490725458403
id_124,19.671418391427338
id_125,28.07447526915915
id_126,10.700587400335262
id_127,26.825372219766585
id_128,47.151685478063825
id_129,55.78185200113974
id_130,18.308760519362718
id_131,37.953744841627646
id_132,42.95015703919791
id_133,13.653012789808601
id_134,5.8177300254370445
id_135,11.609025981711673
id_136,23.64583718494914
id_137,35.0013194521543
id_138,25.00849505701376
id_139,8.42949094689423
id_140,18.990089455395026
id_141,28.30158491450326
id_142,17.286767115314255
id_143,20.352747327459646
id_144,14.447896548512965
id_145,30.799791013288388
id_146,7.066833074829612
id_147,49.08211746348869
id_148,7.748162010861921
id_149,35.909758033530714
id_150,9.337929528270642
id_151,20.352747327459646
id_152,24.894940234341707
id_153,9.11081988292654
id_154,21.488295554180162
id_155,54.192084483731016
id_156,13.539457967136553
id_157,23.305172716932983
id_158,49.30922710883279
id_159,27.052481865110693
id_160,46.2432468966874
id_161,15.129225484545273
id_162,10.587032577663212
id_163,12.290354917743985
id_164,65.66112157360821
id_165,23.191617894260933
id_166,8.088826478878076
id_167,9.337929528270642
id_168,57.71228398656462
id_169,16.26477371126579
id_170,64.7526829922318
id_171,39.42995753636431
id_172,47.03813065539176
id_173,14.447896548512965
id_174,52.71587178899434
id_175,19.671418391427334
id_176,35.56909356551456
id_177,20.6934117954758
id_178,9.337929528270644
id_179,27.279591510454793
id_180,11.041251868351416
id_181,10.473477754991158
id_182,31.140455481304546
id_183,17.400321937986302
id_184,11.94969044972783
id_185,13.198793499120397
id_186,28.415139737175306
id_187,57.48517434122051
id_188,16.718993001953994
id_189,72.02019164324311
id_190,38.862183423004055
id_191,14.334341725840911
id_192,32.616668176041216
id_193,1.7297564092431885
id_194,19.898528036771438
id_195,5.590620380092942
id_196,30.686236190616338
id_197,17.854541228674513
id_198,27.506701155798897
id_199,51.35321391692973
id_200,27.279591510454793
id_201,23.305172716932983
id_202,62.93580582947898
id_203,18.64942498737887
id_204,12.403909740416037
id_205,9.337929528270642
id_206,14.334341725840911
id_207,9.678593996286798
id_208,47.37879512340792
id_209,21.26118590883606
id_210,17.059657469970148
id_211,21.601850376852212
id_212,18.422315342034768
id_213,36.70464179223508
id_214,24.89494023434171
id_215,16.832547824626047
id_216,94.95826582299752
id_217,10.70058740033526
id_218,18.081650874018617
id_219,49.64989157684895
id_220,10.473477754991158
id_221,13.993677257824757
id_222,152.7576705630718
id_223,21.715405199524263
id_224,20.920521440819904
id_225,55.55474235579563
id_226,13.653012789808603
id_227,29.66424278656788
id_228,12.74457420843219
id_229,2.183975699931395
id_230,22.623843780900675
id_231,16.037664065921685
id_232,43.06371186186997
id_233,40.90617023110098
id_234,11.609025981711675
id_235,63.39002512016719
id_236,86.32809929992159
id_237,46.92457583271972
id_238,6.0448396707811485
id_239,17.059657469970148
